Iteration, Death_0, Death_1, Death_2, Death_3, Death_4, Death_5, Death_6, Death_7, Death_8, Death_9, Death_10, Death_11, Death_12, Death_13, Death_14, Death_15, Death_16, Death_17, Death_18, Death_19, Death_20, Death_21, Death_22, Death_23, Death_24, Death_25, Death_26, Death_27, Death_28, Death_29, Death_30, Death_31, Death_32, Death_33, Death_34, Death_35, Death_36, Death_37, Death_38, Death_39, Death_40, Death_41, Death_42, Death_43, Death_44, Death_45, Death_46, Death_47, Death_48, Death_49, Death_50, Death_51, Death_52, Death_53, Death_54, Death_55, Death_56, Death_57, Death_58, Death_59, Death_60, Death_61, Death_62, Death_63, Death_64, Death_65, Death_66, Death_67, Death_68, Death_69, Death_70, Death_71, Death_72, Death_73, Death_74, Death_75, Death_76, Death_77, Death_78, Death_79
10, 2, 3, 2, 2, 4, 0, 2, 3, 1, 1, 1, 0, 3, 2, 1, 3, 1, 3, 2, 3, 1, 3, 2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 4, 3, 2, 0, 3, 2, 1, 3, 0, 2, 1, 0, 1, 2, 2, 0, 1, 1, 1, 4, 0, 1, 1, 1, 1, 2, 2, 3, 3, 2, 1, 3, 2, 1, 3, 1, 2, 2
11, 2, 3, 2, 2, 4, 0, 2, 3, 1, 1, 1, 0, 3, 2, 1, 3, 1, 3, 2, 3, 1, 3, 2, 2, 1, 1, 3, 2, 2, 2, 2, 3, 2, 1, 1, 3, 1, 3, 1, 1, 2, 1, 4, 3, 2, 0, 3, 2, 1, 3, 0, 2, 1, 0, 1, 2, 3, 0, 1, 1, 1, 4, 0, 1, 1, 2, 1, 3, 2, 3, 3, 2, 1, 4, 3, 1, 3, 1, 2, 2
12, 2, 3, 2, 2, 4, 0, 2, 3, 2, 1, 1, 0, 3, 2, 1, 3, 1, 3, 2, 3, 2, 3, 2, 2, 1, 1, 3, 2, 2, 2, 2, 3, 2, 1, 1, 3, 1, 4, 1, 1, 2, 1, 4, 4, 2, 0, 3, 2, 1, 3, 0, 2, 1, 0, 1, 2, 4, 0, 1, 1, 1, 4, 0, 1, 1, 2, 1, 3, 2, 3, 3, 2, 2, 4, 3, 1, 4, 1, 2, 2
13, 2, 3, 2, 2, 4, 1, 2, 3, 2, 1, 1, 0, 3, 2, 1, 3, 1, 3, 2, 3, 3, 3, 2, 2, 1, 1, 3, 2, 2, 2, 2, 3, 2, 1, 1, 3, 1, 4, 1, 1, 2, 1, 4, 4, 2, 0, 3, 2, 1, 3, 0, 2, 1, 0, 1, 2, 4, 0, 1, 1, 2, 4, 0, 1, 1, 2, 1, 3, 2, 3, 4, 2, 2, 4, 3, 1, 4, 1, 2, 2
14, 2, 3, 2, 3, 4, 1, 2, 3, 2, 1, 1, 0, 3, 2, 1, 3, 1, 3, 2, 3, 3, 3, 2, 2, 1, 1, 3, 2, 2, 2, 2, 3, 2, 1, 1, 3, 1, 4, 1, 1, 3, 1, 4, 4, 2, 0, 3, 2, 1, 6, 0, 2, 1, 0, 1, 2, 4, 0, 2, 1, 2, 4, 0, 1, 1, 2, 1, 3, 2, 3, 4, 2, 2, 4, 3, 1, 4, 1, 2, 2
15, 2, 3, 2, 3, 4, 1, 2, 3, 2, 1, 2, 0, 3, 2, 1, 3, 1, 3, 2, 3, 3, 3, 2, 2, 1, 1, 3, 2, 2, 2, 2, 3, 2, 1, 1, 3, 1, 4, 1, 1, 3, 1, 4, 4, 2, 0, 4, 2, 2, 6, 0, 2, 1, 1, 1, 2, 4, 0, 3, 1, 2, 5, 0, 1, 1, 2, 1, 3, 2, 3, 4, 3, 2, 4, 3, 1, 4, 1, 2, 2
16, 2, 3, 2, 3, 4, 1, 2, 3, 2, 1, 2, 0, 3, 2, 1, 3, 1, 4, 3, 3, 4, 3, 3, 2, 1, 1, 4, 2, 2, 2, 2, 3, 2, 1, 3, 3, 1, 4, 2, 1, 3, 1, 4, 4, 2, 0, 4, 2, 2, 6, 0, 2, 1, 1, 1, 2, 4, 0, 3, 1, 2, 5, 0, 1, 1, 2, 1, 3, 2, 3, 4, 3, 2, 4, 3, 2, 4, 1, 2, 2
17, 2, 3, 2, 3, 4, 1, 2, 3, 2, 1, 2, 0, 3, 2, 1, 3, 1, 4, 3, 3, 4, 3, 3, 2, 1, 2, 5, 2, 2, 2, 3, 3, 2, 2, 3, 3, 1, 4, 2, 1, 3, 1, 5, 4, 2, 0, 4, 2, 2, 7, 0, 2, 2, 1, 1, 2, 4, 0, 3, 1, 2, 5, 1, 1, 1, 2, 1, 3, 2, 3, 4, 3, 2, 4, 3, 2, 4, 1, 2, 2
18, 2, 3, 2, 3, 4, 1, 2, 3, 2, 2, 2, 0, 3, 3, 1, 3, 1, 4, 3, 3, 4, 3, 3, 2, 1, 2, 5, 2, 2, 2, 3, 3, 2, 2, 3, 3, 1, 4, 2, 1, 3, 1, 6, 4, 2, 0, 4, 2, 2, 7, 0, 2, 2, 1, 1, 2, 5, 0, 3, 1, 2, 5, 2, 1, 1, 2, 1, 3, 4, 3, 4, 3, 2, 4, 3, 2, 4, 1, 2, 2
19, 2, 3, 2, 3, 4, 1, 2, 3, 2, 2, 2, 0, 3, 3, 2, 3, 1, 4, 3, 3, 4, 3, 3, 3, 1, 2, 5, 2, 2, 2, 3, 3, 2, 2, 3, 3, 1, 4, 2, 1, 3, 1, 6, 4, 2, 0, 4, 2, 2, 8, 0, 2, 2, 1, 2, 3, 5, 0, 3, 1, 2, 5, 2, 1, 1, 2, 1, 3, 4, 3, 4, 3, 2, 4, 3, 2, 4, 1, 2, 2
20, 2, 3, 2, 3, 4, 2, 2, 3, 2, 2, 2, 0, 3, 3, 2, 3, 1, 4, 3, 3, 5, 3, 3, 3, 1, 3, 5, 2, 2, 2, 3, 3, 2, 2, 3, 3, 1, 4, 2, 1, 4, 1, 6, 4, 2, 0, 4, 2, 2, 8, 0, 2, 2, 1, 2, 3, 5, 0, 3, 1, 2, 5, 3, 1, 2, 2, 1, 3, 4, 3, 4, 3, 2, 4, 3, 2, 4, 2, 2, 2
21, 2, 4, 2, 3, 4, 2, 2, 4, 2, 2, 2, 0, 3, 3, 2, 3, 1, 4, 3, 3, 5, 3, 3, 3, 1, 3, 5, 2, 4, 3, 3, 3, 2, 2, 3, 3, 1, 5, 2, 1, 4, 1, 6, 4, 3, 0, 4, 2, 2, 8, 0, 2, 2, 1, 2, 3, 5, 0, 3, 1, 2, 5, 3, 1, 3, 2, 1, 3, 5, 3, 4, 3, 2, 4, 4, 2, 4, 2, 2, 2
22, 2, 4, 2, 3, 4, 2, 2, 4, 2, 2, 2, 0, 3, 3, 3, 4, 1, 4, 3, 3, 5, 3, 3, 3, 1, 3, 5, 2, 4, 3, 3, 3, 2, 2, 3, 3, 1, 5, 2, 1, 4, 1, 6, 4, 3, 1, 4, 2, 2, 8, 0, 2, 2, 1, 2, 3, 5, 1, 3, 1, 2, 5, 3, 1, 3, 2, 1, 3, 5, 3, 4, 4, 2, 4, 4, 3, 5, 2, 2, 2
23, 2, 4, 2, 3, 4, 2, 2, 5, 2, 2, 2, 0, 3, 3, 3, 4, 1, 4, 3, 3, 5, 3, 3, 3, 1, 3, 5, 2, 4, 3, 4, 4, 2, 2, 4, 3, 1, 5, 2, 1, 4, 1, 6, 4, 3, 1, 4, 2, 2, 8, 0, 2, 2, 1, 3, 3, 7, 1, 3, 1, 2, 5, 3, 1, 3, 2, 1, 3, 5, 3, 4, 4, 2, 4, 5, 3, 5, 2, 2, 2
24, 2, 4, 2, 3, 4, 2, 2, 5, 2, 2, 2, 0, 3, 3, 3, 4, 1, 4, 3, 3, 5, 3, 3, 3, 1, 4, 5, 2, 4, 3, 4, 4, 2, 2, 4, 3, 2, 6, 2, 1, 4, 1, 6, 4, 3, 1, 4, 2, 2, 8, 0, 3, 2, 1, 3, 3, 8, 1, 3, 1, 3, 5, 3, 2, 3, 2, 1, 3, 5, 3, 4, 4, 3, 4, 5, 3, 5, 2, 2, 2
25, 2, 4, 2, 3, 4, 2, 2, 5, 2, 2, 2, 0, 3, 3, 3, 4, 1, 5, 3, 3, 6, 3, 3, 4, 1, 4, 5, 2, 4, 3, 4, 4, 2, 2, 4, 4, 2, 6, 2, 1, 4, 1, 6, 4, 3, 1, 4, 2, 2, 9, 0, 3, 2, 1, 3, 3, 8, 1, 3, 1, 3, 5, 3, 2, 3, 2, 1, 3, 5, 3, 4, 4, 3, 4, 5, 4, 5, 2, 2, 2
26, 2, 5, 2, 3, 4, 2, 2, 5, 3, 2, 2, 0, 3, 3, 3, 4, 2, 5, 3, 3, 6, 3, 3, 5, 1, 4, 5, 2, 4, 3, 5, 4, 2, 2, 4, 4, 2, 6, 2, 1, 4, 1, 7, 4, 3, 1, 4, 2, 2, 9, 0, 3, 2, 1, 3, 3, 8, 1, 3, 1, 3, 5, 3, 2, 3, 2, 2, 3, 5, 3, 4, 4, 3, 4, 5, 5, 5, 2, 2, 2
27, 2, 5, 2, 3, 4, 2, 2, 5, 3, 2, 2, 0, 3, 3, 3, 5, 2, 5, 3, 3, 6, 3, 3, 5, 1, 4, 6, 2, 4, 3, 5, 4, 2, 2, 4, 4, 2, 6, 2, 1, 4, 1, 7, 4, 3, 2, 4, 2, 2, 9, 0, 3, 2, 1, 3, 3, 8, 1, 3, 1, 5, 5, 4, 3, 4, 2, 2, 3, 5, 3, 4, 4, 3, 4, 5, 5, 5, 2, 2, 2
28, 3, 5, 2, 3, 4, 3, 2, 7, 3, 2, 2, 0, 3, 3, 3, 5, 2, 5, 3, 3, 6, 3, 4, 5, 1, 4, 6, 2, 4, 4, 5, 4, 2, 2, 4, 4, 2, 6, 3, 1, 4, 1, 7, 4, 3, 2, 4, 2, 2, 9, 0, 3, 2, 1, 3, 3, 8, 1, 3, 1, 5, 5, 4, 3, 4, 2, 2, 3, 5, 3, 4, 5, 3, 4, 6, 5, 5, 2, 2, 2
29, 3, 5, 3, 3, 4, 3, 2, 7, 3, 3, 3, 0, 3, 3, 3, 6, 4, 6, 3, 3, 6, 3, 4, 5, 1, 4, 6, 2, 4, 4, 5, 4, 2, 2, 4, 4, 2, 6, 3, 1, 4, 1, 8, 4, 3, 3, 4, 2, 2, 9, 0, 3, 2, 1, 3, 3, 8, 1, 3, 1, 5, 5, 4, 3, 4, 2, 2, 4, 5, 3, 4, 5, 3, 4, 6, 5, 5, 2, 2, 2
30, 3, 5, 3, 3, 4, 3, 2, 7, 3, 3, 4, 1, 4, 3, 3, 6, 4, 6, 3, 4, 6, 3, 4, 5, 2, 4, 6, 2, 4, 4, 6, 4, 2, 2, 4, 4, 2, 6, 3, 1, 4, 1, 9, 4, 3, 3, 4, 4, 2, 9, 0, 3, 2, 1, 3, 3, 8, 1, 3, 1, 5, 6, 4, 3, 4, 2, 2, 4, 5, 3, 4, 5, 4, 4, 6, 5, 5, 3, 2, 2
31, 3, 5, 3, 4, 4, 3, 2, 7, 3, 3, 5, 1, 4, 3, 3, 6, 4, 7, 3, 4, 6, 3, 4, 5, 2, 4, 7, 2, 4, 4, 6, 4, 2, 2, 4, 4, 2, 7, 4, 1, 4, 1, 9, 4, 3, 4, 4, 4, 2, 9, 0, 3, 2, 1, 3, 3, 8, 1, 4, 1, 5, 6, 4, 3, 4, 2, 2, 4, 5, 3, 4, 5, 4, 4, 6, 5, 5, 4, 2, 2
32, 3, 5, 3, 4, 4, 3, 2, 7, 3, 3, 6, 1, 4, 3, 3, 6, 5, 8, 3, 4, 6, 3, 4, 5, 2, 4, 7, 2, 4, 4, 6, 4, 2, 2, 4, 4, 2, 7, 4, 1, 4, 1, 9, 5, 3, 4, 4, 4, 2, 9, 0, 3, 2, 1, 3, 3, 8, 1, 4, 2, 5, 6, 5, 3, 4, 2, 2, 4, 5, 3, 4, 5, 4, 4, 6, 5, 6, 4, 2, 2
33, 3, 5, 3, 5, 4, 4, 2, 7, 3, 3, 6, 1, 4, 3, 3, 6, 5, 8, 3, 4, 6, 3, 5, 5, 2, 5, 7, 2, 4, 4, 6, 4, 2, 3, 4, 4, 2, 7, 4, 1, 4, 1, 9, 6, 3, 5, 4, 4, 2, 9, 1, 3, 2, 3, 4, 3, 9, 1, 4, 2, 5, 6, 6, 3, 4, 2, 2, 4, 6, 3, 4, 6, 4, 4, 6, 5, 6, 5, 2, 2
34, 3, 5, 4, 5, 4, 4, 2, 7, 3, 3, 6, 1, 4, 3, 3, 6, 5, 9, 3, 4, 6, 3, 5, 5, 2, 5, 7, 2, 4, 4, 6, 5, 2, 3, 4, 4, 2, 7, 4, 1, 4, 1, 9, 6, 3, 5, 4, 4, 3, 9, 1, 5, 2, 3, 4, 3, 9, 1, 4, 2, 6, 6, 6, 3, 4, 2, 2, 4, 7, 3, 4, 6, 4, 4, 6, 5, 6, 5, 2, 2
35, 3, 5, 4, 6, 4, 4, 2, 7, 4, 3, 6, 1, 4, 3, 3, 6, 5, 9, 3, 4, 6, 3, 5, 5, 3, 5, 7, 2, 4, 4, 6, 5, 2, 3, 4, 4, 2, 7, 4, 1, 4, 1, 9, 6, 4, 5, 4, 4, 3, 9, 1, 5, 3, 3, 4, 3, 9, 2, 5, 2, 6, 6, 6, 3, 4, 2, 2, 4, 7, 3, 4, 6, 4, 4, 6, 5, 6, 6, 2, 2
36, 3, 5, 4, 6, 4, 4, 2, 7, 4, 3, 6, 1, 4, 3, 3, 6, 5, 9, 3, 4, 6, 3, 5, 5, 3, 5, 7, 2, 4, 4, 6, 5, 2, 3, 4, 4, 2, 7, 4, 1, 4, 1, 9, 6, 4, 5, 4, 4, 3, 9, 2, 5, 3, 4, 4, 3, 9, 2, 5, 2, 6, 6, 6, 3, 4, 2, 2, 4, 7, 3, 4, 8, 4, 4, 6, 5, 6, 7, 2, 2
37, 3, 5, 4, 7, 4, 5, 2, 7, 4, 3, 6, 1, 4, 3, 3, 6, 6, 9, 4, 4, 6, 3, 5, 5, 3, 5, 7, 2, 4, 4, 7, 5, 2, 3, 4, 4, 3, 7, 4, 1, 4, 1, 9, 6, 4, 6, 4, 4, 3, 9, 2, 5, 3, 4, 4, 3, 9, 2, 5, 2, 6, 6, 6, 3, 4, 2, 2, 4, 7, 3, 4, 9, 4, 4, 6, 5, 6, 7, 2, 2
38, 4, 5, 4, 7, 4, 5, 3, 7, 4, 3, 6, 1, 4, 3, 3, 6, 7, 9, 4, 4, 6, 3, 5, 5, 3, 5, 7, 2, 4, 4, 8, 5, 2, 3, 4, 5, 3, 7, 4, 1, 4, 1, 10, 6, 4, 7, 4, 4, 3, 9, 2, 5, 3, 4, 4, 3, 9, 2, 6, 2, 6, 6, 6, 3, 4, 2, 2, 4, 7, 3, 5, 9, 4, 5, 6, 5, 7, 7, 2, 2
39, 4, 5, 4, 8, 4, 5, 3, 8, 4, 3, 6, 1, 4, 3, 3, 6, 7, 9, 4, 4, 6, 4, 5, 5, 3, 5, 7, 2, 4, 4, 8, 5, 2, 3, 4, 5, 3, 7, 4, 1, 4, 1, 10, 6, 4, 7, 4, 4, 4, 9, 2, 6, 3, 4, 4, 3, 9, 2, 6, 2, 7, 6, 6, 3, 4, 2, 2, 4, 7, 4, 5, 9, 4, 5, 6, 5, 7, 7, 2, 2
40, 5, 5, 4, 8, 4, 5, 3, 8, 4, 3, 8, 1, 4, 3, 3, 6, 7, 9, 4, 4, 6, 4, 5, 5, 3, 5, 7, 2, 4, 4, 8, 5, 2, 3, 4, 5, 3, 7, 4, 1, 4, 1, 10, 6, 4, 8, 4, 4, 4, 9, 2, 6, 3, 4, 4, 3, 9, 2, 7, 2, 7, 6, 6, 3, 4, 2, 2, 4, 7, 5, 5, 9, 4, 5, 6, 6, 7, 7, 2, 2
41, 5, 5, 4, 9, 4, 5, 3, 8, 4, 3, 8, 1, 4, 3, 3, 6, 7, 9, 5, 5, 6, 4, 5, 5, 3, 5, 7, 2, 4, 4, 8, 5, 2, 3, 4, 5, 3, 7, 4, 1, 4, 2, 11, 6, 4, 8, 4, 4, 5, 9, 2, 6, 3, 4, 4, 3, 9, 3, 7, 2, 7, 6, 6, 3, 4, 2, 2, 4, 7, 5, 5, 9, 4, 5, 6, 6, 7, 7, 2, 2
42, 5, 5, 4, 11, 4, 5, 3, 8, 4, 3, 8, 1, 4, 3, 3, 7, 7, 10, 5, 5, 7, 4, 6, 5, 3, 5, 7, 2, 4, 4, 8, 5, 2, 3, 4, 6, 3, 7, 4, 1, 4, 2, 11, 6, 4, 8, 4, 5, 5, 9, 3, 6, 3, 4, 4, 3, 9, 3, 7, 2, 8, 7, 6, 3, 4, 2, 2, 4, 7, 5, 5, 9, 4, 5, 6, 7, 7, 7, 2, 2
43, 5, 5, 4, 11, 4, 5, 3, 9, 4, 3, 8, 2, 4, 3, 3, 8, 7, 10, 7, 5, 8, 5, 6, 5, 3, 5, 8, 2, 4, 4, 8, 6, 2, 3, 4, 6, 3, 7, 4, 1, 5, 3, 11, 6, 4, 8, 4, 5, 6, 9, 3, 6, 3, 4, 4, 3, 9, 3, 7, 2, 8, 7, 6, 3, 4, 2, 2, 4, 7, 5, 5, 9, 4, 5, 6, 8, 7, 7, 2, 2
44, 5, 6, 4, 11, 4, 5, 3, 9, 4, 3, 9, 2, 4, 3, 3, 8, 7, 10, 7, 6, 8, 5, 6, 5, 3, 5, 8, 2, 4, 4, 8, 6, 2, 3, 4, 6, 3, 7, 4, 1, 5, 3, 11, 6, 4, 8, 4, 5, 6, 9, 3, 6, 3, 4, 4, 3, 9, 3, 7, 2, 10, 7, 6, 3, 4, 2, 2, 4, 7, 5, 5, 9, 5, 5, 6, 8, 7, 7, 2, 2
45, 5, 6, 4, 12, 5, 5, 3, 10, 4, 3, 9, 2, 4, 3, 3, 8, 7, 10, 7, 6, 8, 6, 6, 7, 3, 5, 8, 2, 4, 5, 8, 6, 3, 5, 4, 6, 3, 7, 4, 2, 5, 3, 13, 6, 4, 8, 4, 5, 6, 9, 3, 6, 3, 4, 5, 3, 9, 3, 7, 2, 11, 7, 6, 3, 4, 2, 2, 4, 7, 5, 5, 9, 5, 5, 6, 8, 7, 7, 2, 2
46, 5, 6, 4, 12, 5, 6, 3, 11, 4, 3, 9, 2, 4, 3, 3, 8, 7, 10, 7, 6, 9, 6, 6, 7, 3, 5, 8, 4, 4, 5, 8, 6, 3, 5, 4, 6, 3, 7, 5, 2, 5, 3, 14, 6, 4, 8, 5, 5, 7, 9, 3, 6, 3, 4, 5, 3, 9, 4, 7, 2, 11, 7, 6, 3, 4, 2, 2, 4, 7, 5, 5, 9, 5, 5, 6, 8, 7, 7, 3, 2
47, 5, 6, 4, 13, 5, 6, 3, 11, 4, 4, 9, 2, 4, 3, 3, 8, 7, 10, 8, 6, 9, 6, 6, 7, 3, 5, 8, 4, 4, 5, 8, 6, 3, 5, 4, 6, 3, 7, 5, 4, 5, 3, 14, 7, 4, 8, 5, 5, 7, 9, 3, 6, 3, 4, 6, 3, 9, 4, 7, 2, 11, 7, 7, 3, 4, 2, 2, 4, 7, 5, 7, 9, 5, 5, 6, 9, 7, 7, 3, 2
48, 5, 6, 4, 13, 5, 6, 3, 11, 4, 5, 9, 2, 4, 3, 3, 8, 7, 10, 8, 6, 9, 6, 6, 7, 3, 5, 8, 4, 4, 5, 9, 7, 3, 5, 4, 6, 3, 7, 5, 4, 5, 3, 14, 7, 4, 8, 5, 5, 7, 9, 3, 6, 3, 4, 6, 3, 9, 4, 7, 2, 11, 7, 7, 3, 4, 2, 2, 4, 7, 5, 8, 10, 6, 5, 6, 10, 7, 7, 3, 2
49, 6, 7, 4, 14, 5, 6, 3, 12, 4, 5, 9, 2, 4, 3, 3, 8, 7, 10, 8, 6, 9, 6, 6, 7, 3, 5, 8, 4, 4, 5, 9, 7, 3, 5, 4, 6, 3, 7, 5, 4, 5, 3, 14, 7, 4, 8, 5, 6, 7, 9, 3, 6, 3, 4, 6, 3, 9, 4, 7, 2, 11, 7, 7, 3, 4, 2, 2, 4, 8, 5, 8, 11, 6, 5, 6, 10, 7, 7, 3, 2
50, 6, 7, 4, 15, 5, 7, 3, 12, 4, 5, 9, 3, 4, 3, 3, 8, 7, 10, 9, 6, 9, 6, 7, 7, 3, 5, 8, 4, 4, 6, 9, 7, 3, 6, 5, 6, 3, 7, 5, 4, 5, 3, 14, 7, 4, 8, 5, 6, 8, 9, 3, 6, 4, 4, 6, 3, 9, 4, 7, 2, 11, 7, 7, 4, 4, 2, 2, 4, 8, 5, 8, 12, 6, 5, 6, 10, 7, 7, 3, 2
51, 6, 7, 4, 15, 5, 7, 3, 12, 4, 5, 9, 3, 4, 3, 3, 8, 7, 10, 9, 6, 10, 7, 7, 8, 3, 5, 9, 4, 4, 6, 9, 7, 3, 6, 5, 6, 4, 7, 5, 4, 6, 3, 14, 7, 4, 8, 5, 6, 8, 9, 3, 6, 4, 4, 6, 3, 10, 4, 7, 2, 11, 7, 7, 4, 4, 2, 2, 4, 8, 5, 9, 12, 6, 5, 6, 10, 7, 8, 4, 2
52, 6, 7, 4, 15, 5, 7, 3, 12, 4, 5, 9, 4, 5, 3, 3, 8, 7, 10, 9, 6, 11, 7, 7, 9, 3, 5, 9, 4, 4, 7, 9, 9, 4, 6, 6, 6, 4, 7, 5, 4, 7, 3, 14, 7, 4, 8, 5, 6, 8, 9, 3, 6, 4, 5, 6, 3, 10, 5, 7, 2, 11, 7, 7, 4, 4, 2, 2, 4, 8, 5, 10, 13, 6, 5, 6, 10, 7, 8, 4, 2
53, 6, 7, 4, 15, 5, 8, 5, 12, 4, 5, 9, 4, 5, 3, 3, 8, 7, 11, 10, 6, 12, 7, 7, 9, 4, 5, 9, 5, 4, 7, 9, 9, 4, 6, 6, 6, 4, 7, 5, 4, 7, 3, 14, 7, 4, 8, 5, 6, 8, 9, 4, 6, 4, 5, 6, 3, 10, 5, 7, 3, 11, 7, 7, 4, 4, 3, 2, 4, 8, 5, 10, 13, 6, 6, 6, 10, 7, 8, 5, 2
